gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000129460.15,NGDN,-2.3108135665810656,NA,0.02084315483068516,0.052211180115794883,NA,NA,NA,2,2,2
ENSG00000205853.10,RFPL3S,2.3099234985765986,NA,0.0208923898567304,0.12326828177669155,NA,NA,NA,4,4,4
ENSG00000204520.12,MICA,2.309435987481911,NA,0.0209193999732331,0.26786493224215896,NA,NA,NA,3,3,3
ENSG00000187186.14,RP11-195F19.5,-2.308616690679882,NA,0.020964860930023362,0.01138072762711837,NA,NA,NA,2,2,2
ENSG00000228590.1,AC007381.3,2.308417558670044,NA,0.02097592331892909,0.015886421802996296,NA,NA,NA,1,1,1
ENSG00000174004.5,NRROS,-2.307345231316054,NA,0.02103558185557177,0.021262447488804438,NA,NA,NA,3,3,3
ENSG00000009954.10,BAZ1B,2.3073232173919678,NA,0.021036808139257648,0.0006994623083077769,NA,NA,NA,1,1,1
ENSG00000169189.16,NSMCE1,2.305869510826479,NA,0.021117924725823682,0.006892395853400766,NA,NA,NA,2,2,2
ENSG00000169436.16,COL22A1,2.3049268400062033,NA,0.021170671128698443,0.26915560013622275,NA,NA,NA,4,4,4
ENSG00000159708.17,LRRC36,2.304396152496338,NA,0.021200415792448163,0.002021153229400532,NA,NA,NA,1,1,1
ENSG00000255398.2,HCAR3,-2.302586122785473,NA,0.021302140687636473,1.2463010889048123,NA,NA,NA,3,3,3
ENSG00000149926.13,FAM57B,-2.302305936813354,NA,0.02131792526536463,0.011230629561325438,NA,NA,NA,1,1,1
ENSG00000257008.6,GPR142,-2.301847219467163,NA,0.021343789590624256,0.008833501770193913,NA,NA,NA,1,1,1
ENSG00000006607.13,FARP2,2.3016086583456183,NA,0.021357251423102894,0.034201180320364274,NA,NA,NA,3,3,3
ENSG00000186106.11,ANKRD46,2.300971269607544,NA,0.021393255086856654,0.0029676238385386478,NA,NA,NA,1,1,1
ENSG00000093134.14,VNN3,2.3004253624155973,NA,0.02142413331402611,0.026432377173782527,NA,NA,NA,3,3,3
ENSG00000147852.15,VLDLR,2.2968053817749023,NA,0.021629874423600218,0.005679852742871507,NA,NA,NA,1,1,1
ENSG00000088179.8,PTPN4,2.296796164251978,NA,0.02163040048785837,0.015418079086687499,NA,NA,NA,2,2,2
ENSG00000173540.12,GMPPB,2.295654773712158,NA,0.02169562828710824,0.12912217021105873,NA,NA,NA,1,1,1
ENSG00000007062.11,PROM1,-2.295379638671875,NA,0.021711377195770296,0.0007014960142972609,NA,NA,NA,1,1,1
ENSG00000198554.11,WDHD1,-2.2952640056610107,NA,0.021717999073618936,0.00047009108665208726,NA,NA,NA,1,1,1
