gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000166780.10,C16orf45,0.17568206665693098,NA,0.860543724901081,0.0484041445701414,NA,NA,NA,2,2.0,2
ENSG00000070882.12,OSBPL3,-0.17555777076793094,NA,0.8606413810274675,0.0007191755199389715,NA,NA,NA,2,2.0,2
ENSG00000017797.12,RALBP1,-0.17555144161218922,NA,0.8606463537415823,0.20632874352405997,NA,NA,NA,4,4.0,4
ENSG00000144893.12,MED12L,0.17551187507241703,NA,0.8606774406497584,0.11269907440848564,NA,NA,NA,2,2.0,2
ENSG00000167468.16,GPX4,0.17539720291079167,NA,0.8607675382732483,0.027312985860896935,NA,NA,NA,4,4.0,4
ENSG00000105939.12,ZC3HAV1,-0.17522071301937106,NA,0.860906209469045,0.012959240436460474,NA,NA,NA,1,1.0,1
ENSG00000162510.5,MATN1,-0.17508478462696078,NA,0.8610130137088808,0.016379661525942973,NA,NA,NA,1,1.0,1
ENSG00000179152.19,TCAIM,0.17505651739177888,NA,0.8610352246974586,0.02456512286128543,NA,NA,NA,2,2.0,2
ENSG00000130517.13,PGPEP1,0.1750195887780679,NA,0.8610642415324111,0.01827041677024395,NA,NA,NA,3,3.0,3
ENSG00000073849.14,ST6GAL1,0.1749174892902374,NA,0.8611444676695218,0.0015127589951144397,NA,NA,NA,1,1.0,1
ENSG00000182405.5,PGBD4,-0.1748723387718201,NA,0.861179945793966,0.023732917281921992,NA,NA,NA,1,1.0,1
ENSG00000134153.9,EMC7,-0.17487233877182007,NA,0.8611799457939661,0.00031027538411458274,NA,NA,NA,1,1.0,1
ENSG00000159761.14,C16orf86,-0.17483600974082944,NA,0.8612084924222251,0.008096786157553774,NA,NA,NA,1,1.0,1
ENSG00000107882.11,SUFU,0.1739178090212493,NA,0.8619300563480222,0.011520070791861316,NA,NA,NA,2,2.0,2
ENSG00000184602.5,SNN,-0.173899093705468,NA,0.8619447648955164,0.006130100248122487,NA,NA,NA,2,2.0,2
ENSG00000247077.6,PGAM5,0.17380096018314362,NA,0.8620218897623102,7.102280773896649e-05,NA,NA,NA,1,1.0,1
ENSG00000125841.12,NRSN2,-0.17378851771354675,NA,0.8620316686126988,0.0006995637629173486,NA,NA,NA,1,1.0,1
ENSG00000166262.15,FAM227B,0.17372213304042816,NA,0.8620838423574343,0.007946818080419266,NA,NA,NA,1,1.0,1
ENSG00000167600.13,CYP2S1,0.1736664983123053,NA,0.8621275678550921,0.07289746230899441,NA,NA,NA,2,2.0,2
ENSG00000168792.4,ABHD15,-0.17361194022831342,NA,0.8621704475865228,0.006084058949560016,NA,NA,NA,2,2.0,2
ENSG00000112118.18,MCM3,-0.1734956242151048,NA,0.8622618670978934,0.0007945884788203094,NA,NA,NA,2,2.0,2
ENSG00000034677.12,RNF19A,-0.17325438559055328,NA,0.8624514764256861,0.00028390404873923213,NA,NA,NA,1,1.0,1
ENSG00000157557.11,ETS2,-0.17317969267785396,NA,0.8625101853522728,0.022336348629596506,NA,NA,NA,3,3.0,3
ENSG00000044090.8,CUL7,0.17314627297562116,NA,0.8625364536171329,0.05335707931555461,NA,NA,NA,2,2.0,2
ENSG00000006125.17,AP2B1,-0.1731211245059967,NA,0.8625562206996146,0.0010055216457333985,NA,NA,NA,1,1.0,1
ENSG00000171680.21,PLEKHG5,-0.17297985752348177,NA,0.862667260311704,0.06121058642282552,NA,NA,NA,2,2.0,2
ENSG00000159840.15,ZYX,-0.17291285922635435,NA,0.8627199237070526,0.07392546999061334,NA,NA,NA,2,2.0,2
ENSG00000152147.10,GEMIN6,-0.1728811264038086,NA,0.8627448672133332,0.0006562925411468133,NA,NA,NA,1,1.0,1
ENSG00000119737.5,GPR75,0.1727031320333481,NA,0.8628847817815442,0.016361951698364394,NA,NA,NA,1,1.0,1
ENSG00000124659.6,TBCC,0.1723344326019287,NA,0.8631746159828495,6.882252317900101e-06,NA,NA,NA,1,1.0,1
ENSG00000135632.11,SMYD5,-0.17220509007007856,NA,0.8632762963647035,0.002618729689598619,NA,NA,NA,2,2.0,2
ENSG00000179833.4,SERTAD2,-0.17213271558284762,NA,0.8633331932973889,0.004345869010650397,NA,NA,NA,1,1.0,1
ENSG00000108433.16,GOSR2,-0.17193821196047993,NA,0.8634861051046875,0.008917281337137501,NA,NA,NA,2,2.0,2
ENSG00000162650.16,ATXN7L2,-0.1718571507990956,NA,0.8635498340072596,0.0049312097749984,NA,NA,NA,2,2.0,2
ENSG00000086598.10,TMED2,0.17174003002707625,NA,0.8636419139286637,0.0011882812246218968,NA,NA,NA,2,2.0,2
ENSG00000136492.8,BRIP1,-0.17170265316963196,NA,0.8636712998668136,0.00019104990717021606,NA,NA,NA,1,1.0,1
ENSG00000107438.8,PDLIM1,0.17163556063263333,NA,0.8637240489463024,0.005853867479096148,NA,NA,NA,3,3.0,3
ENSG00000104894.11,CD37,0.17155151069164273,NA,0.8637901310281787,0.0047753568164347485,NA,NA,NA,1,1.0,1
ENSG00000111364.15,DDX55,-0.17153421071951355,NA,0.8638037327999464,0.047578729163193396,NA,NA,NA,2,2.0,2
ENSG00000164850.14,GPER1,0.17126954479578843,NA,0.864011826343695,0.007565442945762826,NA,NA,NA,2,2.0,2
ENSG00000170627.10,GTSF1,-0.17124251217675857,NA,0.8640330812676216,0.02666316036802965,NA,NA,NA,2,2.0,2
